City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
339,island harbour,50.724,-1.2758,51.75,90,99,1.01,GB,1682987568
340,wamba,8.9333,8.6,75.92,71,76,2.51,NG,1682987568
341,mahina,-17.5065,-149.489,83.97,74,75,3.44,PF,1682987568
342,kamina,-8.7386,24.9906,65.12,91,100,1.81,CD,1682987569
343,uray,60.1247,64.7758,40.26,66,100,8.14,RU,1682987569
344,puerto cortez,15.8333,-87.95,83.21,83,100,11.1,HN,1682987569
345,yerofey pavlovich,53.9667,121.9667,48.07,62,100,9.48,RU,1682987569
346,hudson,40.7168,-74.0663,59.99,49,100,14.0,US,1682987569
347,pandan,14.0453,124.1694,84.96,70,100,17.47,PH,1682987569
348,katsuura,35.1333,140.3,61.83,42,0,9.06,JP,1682987569
349,parabel',58.6978,81.4825,31.01,87,100,10.02,RU,1682987570
350,waitara,-38.925,174.25,71.22,88,100,10.87,NZ,1682987570
351,palikir - national government center,6.9248,158.1611,83.25,78,100,11.5,FM,1682987570
352,tralee,52.2704,-9.7026,49.82,90,100,3.36,IE,1682987372
353,ban nong wua so,17.2675,103.2247,88.93,42,7,3.36,TH,1682987570
354,azna,33.6095,48.9307,46.85,44,0,4.0,IR,1682987570
355,tamanrasset,22.785,5.5228,71.51,9,0,2.3,DZ,1682987571
356,nova sintra,14.8667,-24.7167,69.91,79,1,14.74,CV,1682987571
357,chonchi,-42.6128,-73.8092,49.12,98,93,0.22,CL,1682987571
358,xining,36.6167,101.7667,52.03,39,100,1.95,CN,1682987571
359,siwa oasis,29.2041,25.5195,71.62,33,3,10.71,EG,1682987572
360,severo-yeniseyskiy,60.3725,93.0408,27.61,90,100,6.85,RU,1682987572
361,gering,41.8258,-103.6605,70.81,29,0,8.05,US,1682987572
362,fale old settlement,-9.3852,-171.2468,83.86,73,0,13.51,TK,1682987572
